,aluguel,quartos,endereco,banheiro,vaga,area,bairro,rua,zona
6,3400,2.0,"Rua Caconde, 310 - Jardim Paulista, São Paulo - SP",2.0,1.0,130, Jardim Paulista,"Rua Caconde, 310",Oeste
7,3400,2.0,"Rua Oscar Caravelas, 280 - Sumarezinho, São Paulo - SP",2.0,2.0,88, Sumarezinho,"Rua Oscar Caravelas, 280",Oeste
15,5400,2.0,"Rua Peixoto Gomide, 596 - Jardim Paulista, São Paulo - SP",2.0,1.0,72, Jardim Paulista,"Rua Peixoto Gomide, 596",Oeste
19,2600,2.0,"Rua Pamplona - Jardim Paulista, São Paulo - SP",2.0,1.0,91, Jardim Paulista,Rua Pamplona,Oeste
20,3800,1.0,"Pinheiros, São Paulo - SP",1.0,1.0,44, SP,"Pinheiros, São Paulo",Oeste
22,2950,2.0,"Rua Padre Carvalho, 68 - Pinheiros, São Paulo - SP",2.0,1.0,60, Pinheiros,"Rua Padre Carvalho, 68",Oeste
23,10000,4.0,"Rua Caiubi, 1159 - Perdizes, São Paulo - SP",5.0,4.0,180, Perdizes,"Rua Caiubi, 1159",Oeste
27,3800,2.0,"Rua Faustolo, 724 - Lapa, São Paulo - SP",2.0,2.0,64, Lapa,"Rua Faustolo, 724",Oeste
28,5500,3.0,"Avenida Padre Pereira de Andrade, 545 - Boaçava, São Paulo - SP",4.0,3.0,165, Boaçava,"Avenida Padre Pereira de Andrade, 545",Oeste
30,2800,2.0,"Rua João Ramalho, 717 - Perdizes, São Paulo - SP",2.0,1.0,60, Perdizes,"Rua João Ramalho, 717",Oeste
36,2500,3.0,"Rua Diana, 675 - Perdizes, São Paulo - SP",1.0,2.0,94, Perdizes,"Rua Diana, 675",Oeste
44,1900,1.0,"Pinheiros, São Paulo - SP",1.0,0.0,25, SP,"Pinheiros, São Paulo",Oeste
47,1400,1.0,"Rua Butantã, 408 - Pinheiros, São Paulo - SP",1.0,1.0,30, Pinheiros,"Rua Butantã, 408",Oeste
50,3000,2.0,"Rua Teodoro Sampaio, 498 - Pinheiros, São Paulo - SP",1.0,1.0,75, Pinheiros,"Rua Teodoro Sampaio, 498",Oeste
53,7485,2.0,"Rua Manuel Guedes, 264 - Jardim Europa, São Paulo - SP",2.0,2.0,110, Jardim Europa,"Rua Manuel Guedes, 264",Oeste
70,2000,2.0,"Rua Raul Pompéia, 745 - Vila Pompéia, São Paulo - SP",2.0,1.0,81, Vila Pompéia,"Rua Raul Pompéia, 745",Oeste
77,4000,1.0,"Rua Eugênio de Medeiros, 288 - Pinheiros, São Paulo - SP",1.0,1.0,42, Pinheiros,"Rua Eugênio de Medeiros, 288",Oeste
88,2700,3.0,"Avenida Albert Bartholome, 472 - Jardim das Vertentes, São Paulo - SP",1.0,1.0,82, Jardim das Vertentes,"Avenida Albert Bartholome, 472",Oeste
91,6000,1.0,"Rua Eugênio de Medeiros, 288 - Pinheiros, São Paulo - SP",2.0,2.0,60, Pinheiros,"Rua Eugênio de Medeiros, 288",Oeste
95,2100,2.0,"Rua João Miguel Jarra, 298 - Vila Madalena, São Paulo - SP",1.0,1.0,48, Vila Madalena,"Rua João Miguel Jarra, 298",Oeste
97,2500,2.0,"Rua Fidalga, 720 - Pinheiros, São Paulo - SP",2.0,2.0,62, Pinheiros,"Rua Fidalga, 720",Oeste
99,1550,2.0,"Avenida Escola Politécnica, 2200 - Rio Pequeno, São Paulo - SP",1.0,1.0,57, Rio Pequeno,"Avenida Escola Politécnica, 2200",Oeste
101,4400,3.0,"Rua Arruda Alvim - Pinheiros, São Paulo - SP",3.0,2.0,120, Pinheiros,Rua Arruda Alvim,Oeste
102,5785,3.0,"Rua Itapicuru, 380 - Perdizes, São Paulo - SP",2.0,2.0,116, Perdizes,"Rua Itapicuru, 380",Oeste
104,4700,3.0,"Rua Carlos Weber, 499 - Vila Leopoldina, São Paulo - SP",4.0,2.0,125, Vila Leopoldina,"Rua Carlos Weber, 499",Oeste
