,aluguel,quartos,endereco,banheiro,vaga,area,bairro,rua
0,   R$ 7.000 /Mês  ,  2   Quartos  ,"Rua Volta Redonda, 757 - Campo Belo, São Paulo - SP",  5   Banheiros  ,  3   Vagas  ,  276   m²  ,,
1,   R$ 1.650 /Mês  ,  2   Quartos  ,"Rua Professor Demóstenes Batista Figueira Marques, 10 - Cambuci, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  60   m²  ,,
2,   R$ 2.400 /Mês  ,  1   Quarto  ,"Rua Cristiano Viana, 463 - Cerqueira César, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  45   m²  ,,
3,   R$ 1.900 /Mês  ,  2   Quartos  ,"Rua Afonso Pena, 560 - Bom Retiro, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  42   m²  ,,
4,   R$ 1.900 /Mês  ,  2   Quartos  ,"Rua Araquém, 19 - Vila Mascote, São Paulo - SP",  3   Banheiros  ,  1   Vaga  ,  84   m²  ,,
5,   R$ 1.900 /Mês  ,  1   Quarto  ,"Rua Adolfo Gordo, 52 - Campos Elíseos, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  37   m²  ,,
6,   R$ 3.400 /Mês  ,  2   Quartos  ,"Rua Caconde, 310 - Jardim Paulista, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  130   m²  ,,
7,   R$ 3.400 /Mês  ,  2   Quartos  ,"Rua Oscar Caravelas, 280 - Sumarezinho, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  88   m²  ,,
8,   R$ 4.200 /Mês  ,  2   Quartos  ,"Rua Helena, 52 - Vila Olímpia, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  60   m²  ,,
9,   R$ 2.500 /Mês  ,  1   Quarto  ,"Avenida Vereador José Diniz, 3100 - Santo Amaro, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  35   m²  ,,
10,   R$ 1.800 /Mês  ,  2   Quartos  ,"Avenida Itaboraí - Bosque da Saúde, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  62   m²  ,,
