,id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawler,crawled_at,neighborhood
0,2518714218,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-mariana-zona-sul-sao-paulo-com-garagem-110m2-aluguel-RS4400-id-2518714218/,"Apartamento com 3 Quartos para Aluguel, 110m²","Rua Bagé, 230 - Vila Mariana, São Paulo - SP",110,3,2,1,"Piscina
Academia
Elevador
Condomínio fechado
Aceita animais",4400,1100,São Paulo,2021-05-11 17:55, Vila Mariana
1,2514507001,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardins-zona-oeste-sao-paulo-com-garagem-93m2-aluguel-RS8000-id-2514507001/,"Apartamento com 2 Quartos para Aluguel, 93m²","Alameda Campinas, 701 - Jardins, São Paulo - SP",93,2,3,2,"Mobiliado
Piscina
Academia
Churrasqueira
Ar-condicionado",8000,1300,São Paulo,2021-05-11 17:55, Jardins
2,2517994582,https://www.vivareal.com.br/imovel/apartamento-1-quartos-cerqueira-cesar-centro-sao-paulo-com-garagem-36m2-aluguel-RS1700-id-2517994582/,"Apartamento com Quarto para Aluguel, 36m²","Rua Itararé - Cerqueira César, São Paulo - SP",36,1,1,1,"Mobiliado
Piscina
Varanda gourmet
Churrasqueira
Elevador",1700,598,São Paulo,2021-05-11 17:55, Cerqueira César
3,2514968475,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-prudente-zona-leste-sao-paulo-com-garagem-80m2-aluguel-RS1900-id-2514968475/,"Apartamento com 2 Quartos para Aluguel, 80m²","Rua Fidélis Papini, 786 - Vila Prudente, São Paulo - SP",80,2,2,1,"Academia
Churrasqueira
Jardim
Salão de festas
Quadra poliesportiva",1900,798,São Paulo,2021-05-11 17:55, Vila Prudente
4,2509002086,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardins-zona-oeste-sao-paulo-com-garagem-140m2-aluguel-RS6000-id-2509002086/,"Apartamento com 3 Quartos para Aluguel, 140m²","Rua Guarará, 77 - Jardins, São Paulo - SP",140,3,3,2,"Ar-condicionado
Elevador
Condomínio fechado
Jardim
Playground",6000,1600,São Paulo,2021-05-11 17:55, Jardins
5,2517991473,https://www.vivareal.com.br/imovel/apartamento-3-quartos-ipiranga-zona-sul-sao-paulo-com-garagem-84m2-aluguel-RS3900-id-2517991473/,"Apartamento com 3 Quartos para Aluguel, 84m²","Rua Mil Oitocentos e Vinte e Dois, 1453 - Ipiranga, São Paulo - SP",84,3,2,2,"Mobiliado
Piscina
Academia
Churrasqueira
Condomínio fechado",3900,787,São Paulo,2021-05-11 17:55, Ipiranga
6,2512663008,https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-madalena-zona-oeste-sao-paulo-com-garagem-30m2-aluguel-RS3500-id-2512663008/,"Apartamento com Quarto para Aluguel, 30m²","Rua Fradique Coutinho, 980 - Vila Madalena, São Paulo - SP",30,1,1,1,"Mobiliado
Piscina
Academia
Ar-condicionado
Elevador",3500,,São Paulo,2021-05-11 17:55, Vila Madalena
7,2518591697,https://www.vivareal.com.br/imovel/apartamento-2-quartos-perdizes-zona-oeste-sao-paulo-com-garagem-98m2-aluguel-RS2600-id-2518591697/,"Apartamento com 2 Quartos para Aluguel, 98m²","Rua Cardoso de Almeida, 170 - Perdizes, São Paulo - SP",98,2,2,1,"Aceita animais
Portaria 24h",2600,1000,São Paulo,2021-05-11 17:55, Perdizes
8,2517437488,https://www.vivareal.com.br/imovel/apartamento-1-quartos-itaim-bibi-zona-sul-sao-paulo-47m2-aluguel-RS2800-id-2517437488/,"Apartamento com Quarto para Aluguel, 47m²","Rua Leopoldo Couto Magalhães Júnior, 542 - Itaim Bibi, São Paulo - SP",47,1,1,--,"Piscina
Academia
Elevador
Condomínio fechado
Aceita animais",2800,830,São Paulo,2021-05-11 17:55, Itaim Bibi
9,2517074981,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-mariana-zona-sul-sao-paulo-com-garagem-70m2-aluguel-RS2200-id-2517074981/,"Apartamento com 2 Quartos para Aluguel, 70m²","Rua Rio Grande, 392 - Vila Mariana, São Paulo - SP",70,2,2,1,"Elevador
Aceita animais
Portaria 24h
Chuveiro a gás
Cozinha americana",2200,1150,São Paulo,2021-05-11 17:55, Vila Mariana
