id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawler,crawled_at
2518714218,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-mariana-zona-sul-sao-paulo-com-garagem-110m2-aluguel-RS4400-id-2518714218/,"Apartamento com 3 Quartos para Aluguel, 110m²","Rua Bagé, 230 - Vila Mariana, São Paulo - SP",110,3 Quartos,2 Banheiros,1 Vaga,"Piscina
Academia
Elevador
Condomínio fechado
Aceita animais",R$ 4.400 /mês,R$ 1.100,São Paulo,2021-05-11 17:55
2514507001,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardins-zona-oeste-sao-paulo-com-garagem-93m2-aluguel-RS8000-id-2514507001/,"Apartamento com 2 Quartos para Aluguel, 93m²","Alameda Campinas, 701 - Jardins, São Paulo - SP",93,2 Quartos,3 Banheiros,2 Vagas,"Mobiliado
Piscina
Academia
Churrasqueira
Ar-condicionado",R$ 8.000 /mês,R$ 1.300,São Paulo,2021-05-11 17:55
2517994582,https://www.vivareal.com.br/imovel/apartamento-1-quartos-cerqueira-cesar-centro-sao-paulo-com-garagem-36m2-aluguel-RS1700-id-2517994582/,"Apartamento com Quarto para Aluguel, 36m²","Rua Itararé - Cerqueira César, São Paulo - SP",36,1 Quarto,1 Banheiro,1 Vaga,"Mobiliado
Piscina
Varanda gourmet
Churrasqueira
Elevador",R$ 1.700 /mês,R$ 598,São Paulo,2021-05-11 17:55
2514968475,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-prudente-zona-leste-sao-paulo-com-garagem-80m2-aluguel-RS1900-id-2514968475/,"Apartamento com 2 Quartos para Aluguel, 80m²","Rua Fidélis Papini, 786 - Vila Prudente, São Paulo - SP",80,2 Quartos,2 Banheiros,1 Vaga,"Academia
Churrasqueira
Jardim
Salão de festas
Quadra poliesportiva",R$ 1.900 /mês,R$ 798,São Paulo,2021-05-11 17:55
2509002086,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardins-zona-oeste-sao-paulo-com-garagem-140m2-aluguel-RS6000-id-2509002086/,"Apartamento com 3 Quartos para Aluguel, 140m²","Rua Guarará, 77 - Jardins, São Paulo - SP",140,3 Quartos,3 Banheiros,2 Vagas,"Ar-condicionado
Elevador
Condomínio fechado
Jardim
Playground",R$ 6.000 /mês,R$ 1.600,São Paulo,2021-05-11 17:55
2517991473,https://www.vivareal.com.br/imovel/apartamento-3-quartos-ipiranga-zona-sul-sao-paulo-com-garagem-84m2-aluguel-RS3900-id-2517991473/,"Apartamento com 3 Quartos para Aluguel, 84m²","Rua Mil Oitocentos e Vinte e Dois, 1453 - Ipiranga, São Paulo - SP",84,3 Quartos,2 Banheiros,2 Vagas,"Mobiliado
Piscina
Academia
Churrasqueira
Condomínio fechado",R$ 3.900 /mês,R$ 787,São Paulo,2021-05-11 17:55
2512663008,https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-madalena-zona-oeste-sao-paulo-com-garagem-30m2-aluguel-RS3500-id-2512663008/,"Apartamento com Quarto para Aluguel, 30m²","Rua Fradique Coutinho, 980 - Vila Madalena, São Paulo - SP",30,1 Quarto,1 Banheiro,1 Vaga,"Mobiliado
Piscina
Academia
Ar-condicionado
Elevador",R$ 3.500 /mês,,São Paulo,2021-05-11 17:55
2518591697,https://www.vivareal.com.br/imovel/apartamento-2-quartos-perdizes-zona-oeste-sao-paulo-com-garagem-98m2-aluguel-RS2600-id-2518591697/,"Apartamento com 2 Quartos para Aluguel, 98m²","Rua Cardoso de Almeida, 170 - Perdizes, São Paulo - SP",98,2 Quartos,2 Banheiros,1 Vaga,"Aceita animais
Portaria 24h",R$ 2.600 /mês,R$ 1.000,São Paulo,2021-05-11 17:55
2517437488,https://www.vivareal.com.br/imovel/apartamento-1-quartos-itaim-bibi-zona-sul-sao-paulo-47m2-aluguel-RS2800-id-2517437488/,"Apartamento com Quarto para Aluguel, 47m²","Rua Leopoldo Couto Magalhães Júnior, 542 - Itaim Bibi, São Paulo - SP",47,1 Quarto,1 Banheiro,-- Vaga,"Piscina
Academia
Elevador
Condomínio fechado
Aceita animais",R$ 2.800 /mês,R$ 830,São Paulo,2021-05-11 17:55
2517074981,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-mariana-zona-sul-sao-paulo-com-garagem-70m2-aluguel-RS2200-id-2517074981/,"Apartamento com 2 Quartos para Aluguel, 70m²","Rua Rio Grande, 392 - Vila Mariana, São Paulo - SP",70,2 Quartos,2 Banheiros,1 Vaga,"Elevador
Aceita animais
Portaria 24h
Chuveiro a gás
Cozinha americana",R$ 2.200 /mês,R$ 1.150,São Paulo,2021-05-11 17:55
